query_id,prompt_text,ambiguity_tier,ground_truth,linguistic_features
Q058,How accurate is Llama 3 on reasoning benchmarks?,3,web_search,"temporal_current,entity_specific,ambiguous"
Q059,What embedding models are commonly used for semantic search?,3,local_retrieval,"no_temporal,concept_query,ambiguous"
Q060,How has the RAG architecture evolved recently?,3,web_search,"temporal_recent,concept_query,ambiguous"
Q061,What are the limitations of current agentic LLM systems?,3,local_retrieval,"no_temporal,concept_query,ambiguous"
Q062,How is LangChain being adopted in enterprise applications?,3,web_search,"temporal_current,entity_specific,ambiguous"
Q063,What are the tradeoffs between local and cloud-based LLM inference?,3,local_retrieval,"no_temporal,concept_query,ambiguous"
Q064,What is the current performance of open-source models vs GPT-4?,3,web_search,"temporal_current,concept_query,ambiguous"
Q065,How do researchers evaluate retrieval quality in RAG systems?,3,local_retrieval,"no_temporal,concept_query,ambiguous"
Q066,What tools are people using to build agentic AI workflows today?,3,web_search,"temporal_today,concept_query,ambiguous"
Q067,What are the known failure modes of RAG systems?,3,local_retrieval,"no_temporal,concept_query,ambiguous"
Q068,How is prompt engineering being used to improve LLM routing?,3,local_retrieval,"no_temporal,concept_query,ambiguous"
Q069,What are the latest benchmarks for Mistral 7B?,3,web_search,"temporal_latest,entity_specific,ambiguous"
Q070,How does tool use in LLMs compare to human decision-making?,3,local_retrieval,"no_temporal,concept_query,ambiguous"
Q071,Is RAG still relevant given longer context windows in modern LLMs?,3,web_search,"temporal_current,concept_query,ambiguous"
Q072,What improvements have been made to ChromaDB recently?,3,web_search,"temporal_recent,entity_specific,ambiguous"
Q073,How do companies currently deploy RAG in customer support?,3,web_search,"temporal_current,concept_query,ambiguous"
Q074,What are the known hallucination risks in agentic RAG systems?,3,local_retrieval,"no_temporal,concept_query,ambiguous"
Q075,How has attention mechanism research progressed over time?,3,web_search,"temporal_over_time,concept_query,ambiguous"
Q076,What is the difference between Llama 2 and Llama 3?,3,local_retrieval,"no_temporal,entity_specific,ambiguous"
Q077,How are sentence transformers being improved today?,3,web_search,"temporal_today,entity_specific,ambiguous"
Q078,What are the most cited papers on retrieval-augmented generation?,3,local_retrieval,"no_temporal,concept_query,ambiguous"
Q079,How does the Tavily search API compare to other search tools currently?,3,web_search,"temporal_current,entity_specific,ambiguous"
Q080,What are the current challenges in multi-hop reasoning for RAG?,3,web_search,"temporal_current,concept_query,ambiguous"
Q081,What is the difference between a retriever and a reranker?,1,local_retrieval,"no_temporal,concept_query"
Q082,What is hybrid search in the context of information retrieval?,1,local_retrieval,"no_temporal,concept_query"
Q083,How does temperature affect LLM output generation?,1,local_retrieval,"no_temporal,concept_query"
Q084,What is the purpose of the system prompt in an LLM conversation?,1,local_retrieval,"no_temporal,concept_query"
Q085,Explain what HNSW indexing is in vector databases.,1,local_retrieval,"no_temporal,concept_query"
Q086,What broke in AI infrastructure this week?,2,web_search,"temporal_this_week,news_query"
Q087,What is the current funding status of major AI labs?,2,web_search,"temporal_current,news_query"
Q088,Which AI models are available for free on OpenRouter right now?,2,web_search,"temporal_current,entity_specific"
Q089,What are the most downloaded Hugging Face models this month?,2,web_search,"temporal_this_week,entity_specific"
Q090,What AI legislation passed in the EU recently?,2,web_search,"temporal_recent,news_query"
