query_id,prompt,ground_truth,ambiguity_tier,prompt_tags,rule_based_tool,always_local_tool,zero_shot_llm_tool,zero_shot_llm_reason,few_shot_llm_tool,few_shot_llm_reason,cot_llm_tool,cot_llm_reason,langgraph_agent_tool,langgraph_agent_reason
13,How does Amazon Web Services compete against Microsoft Azure and Google Cloud?,web,2,"['amazon', 'AWS', 'competitive_analysis', 'current_market_or_local_doc', 'cloud']",uncertain,local,web,,local,,web,,web,"The query asks about current cloud computing services and their competition, which requires real-time or near-real-time data."
14,What is American Express's strategy for growing its international card services business?,local,2,"['amex', 'international', 'strategy', 'local_doc_or_web_analysis', 'ICS_segment']",uncertain,local,web,,local,,web,,web,"The query asks about American Express's current strategy for growing its international card services business, which requires real-time or near-real-time information, making it a web query."
15,How is Alphabet integrating Gemini AI across its product portfolio?,web,2,"['alphabet', 'gemini', 'AI_strategy', 'recent_web_or_local_doc', 'product']",uncertain,local,web,,web,,web,,web,"The query is asking about the integration of a technology (Gemini AI) across Alphabet's product portfolio, which suggests real-time or current information, making it a web query."
16,What does Adobe's Firefly generative AI model do and how is it used commercially?,local,2,"['adobe', 'firefly', 'generative_AI', 'local_doc_overview_or_web_detail', 'product']",uncertain,local,web,,web,,web,,web,"The query is asking about a real-time, current technology and its commercial applications, which falls under the category of web-based market data."
17,What are Airbnb's key financial performance metrics that investors track?,local,2,"['airbnb', 'KPIs', 'GBV', 'local_doc_or_web_summary', 'investor_relations']",uncertain,local,web,,local,,web,,web,"The query is asking for current or real-time financial performance metrics, which are typically available on the web and not in historical or static documents."
18,How many shares of Amazon common stock were outstanding as of early 2026?,web,2,"['amazon', 'shares_outstanding', 'current_web_or_local_doc', 'specific_date', 'equity']",local,local,local,,local,,local,,local,"The query is asking for historical data on the number of shares outstanding, which is a static piece of information that can be found in Amazon's financial documents or databases."
19,What makes American Express's business model different from Visa and Mastercard?,local,2,"['amex', 'differentiated_model', 'local_doc_or_web_analysis', 'competitive_positioning']",uncertain,local,local,,local,,web,,local,"This query requires analysis of historical or static data about American Express's business model, which can be found in their annual reports or other financial documents."
20,What revenue segments does Alphabet break out in its financial reporting?,local,2,"['alphabet', 'revenue_segments', 'local_doc_or_web_summary', 'google_services', 'google_cloud']",uncertain,local,local,,local,,local,,local,"The query is asking for historical financial data, specifically revenue segments, which is typically reported in annual reports or 10-K filings."
21,What are Adobe's yearly financials for 2025?,local,3,"['adobe', 'bare_query', 'financials', 'highly_vague', 'local_or_web_unclear']",local,local,local,,local,,local,,local,"The query is asking for historical financial data for a specific year, which is typically found in static or document-specific sources."
22,Tell me about Airbnb.,web,3,"['airbnb', 'open_ended', 'highly_vague', 'business_overview_or_web', 'no_specific_intent']",uncertain,local,web,,local,,web,,web,"Airbnb is a dynamic company with constantly changing data, such as current listings and user reviews, which is typically only available in real-time."
23,How is Amazon's growth?,local,3,"['amazon', 'bare_query', 'growth', 'highly_vague', 'historical_or_current_unclear']",uncertain,local,web,,local,,web,,web,"The query is asking about Amazon's current growth, which implies real-time or up-to-date information."
24,What should I know about Amex before investing?,web,3,"['amex', 'investment_research', 'highly_vague', '10K_risk_or_web_analysis', 'open_ended']",web,local,web,,web,,web,,web,"The query asks about investing in Amex, which requires real-time or current information, such as market trends, news, or stock prices, which is typically found on web-based tools."
25,How is Alphabet performing?,web,3,"['alphabet', 'performance', 'highly_vague', 'fy2025_doc_or_current_web', 'open_ended']",uncertain,local,web,,web,,web,,web,"The query asks about Alphabet's current performance, which is a real-time or live market data."
26,What is the Adobe AI strategy?,local,3,"['adobe', 'AI', 'bare_query', 'local_doc_or_recent_news', 'highly_vague']",uncertain,local,web,,local,,web,,web,"The query is asking about Adobe's current AI strategy, which is likely to be a dynamic and evolving topic, making it more suitable for real-time web data."
27,What is the outlook for Airbnb?,web,3,"['airbnb', 'forward_looking', 'highly_vague', '10K_guidance_or_analyst_web', 'open_ended']",uncertain,local,web,,web,,web,,web,"The query is asking about the outlook for Airbnb, which implies a desire for real-time or current information, making it a web query."
28,What is Amazon's seasonality?,local,3,"['amazon', 'bare_query', 'seasonality', 'highly_vague', 'local_doc_or_web_explainer']",uncertain,local,local,,local,,web,,local,"Seasonality is a historical and static concept, typically analyzed using past financial data, which falls under the 'local' category."
29,What are the Amex card benefits?,web,3,"['amex', 'bare_query', 'card_benefits', 'highly_vague', 'general_info_or_specific_product_web']",uncertain,local,web,,local,,local,,web,"The query is asking about current benefits of an Amex card, which is a real-time or live information."
30,What is Alphabet's moonshots strategy?,local,3,"['alphabet', 'bare_query', 'other_bets', 'highly_vague', 'local_doc_or_recent_news']",uncertain,local,web,,local,,web,,web,"The query is asking about Alphabet's current moonshots strategy, which is a real-time topic that requires web-based information."
31,How many full-time equivalent employees did Apple report worldwide as of the end of fiscal year 2025?,local,1,"['apple', 'headcount', '10K_fact', 'specific_date', 'local_doc']",local,local,local,,local,,local,,local,"The query requests historical financial data, specifically employee count as of the end of fiscal year 2025, which is a static and document-specific piece of information."
32,What are the three geographic reporting segments Cisco uses to break out its revenue in its FY2025 annual report?,local,1,"['cisco', 'geographic_segments', '10K_fact', 'organizational_structure', 'local_doc']",local,local,local,,local,,local,,local,"The query is asking for historical financial data, specifically revenue breakdown by geographic segment in Cisco's FY2025 annual report, which falls under the category of local data."
33,What was Dell Technologies' total net revenue for fiscal year 2025 as stated in its 10-K filing?,local,1,"['dell', 'total_revenue', '10K_fact', 'financials', 'local_doc']",local,local,local,,local,,local,,local,"The query is asking for historical, static financial data from a specific 10-K filing, which is typically stored locally."
34,What was the total number of orders placed on DoorDash's platform in fiscal year 2025 according to its annual report?,local,1,"['doordash', 'order_volume', '10K_fact', 'platform_metrics', 'local_doc']",local,local,local,,local,,local,,local,"The query is asking for historical, static data from DoorDash's annual report, which falls under the category of 'local' financial data."
35,How many retail store locations did GameStop operate globally as of the end of fiscal year 2025 per its 10-K?,local,1,"['gamestop', 'store_count', '10K_fact', 'specific_date', 'local_doc']",local,local,local,,local,,local,,local,"The query is asking for historical, static data from a company's 10-K filing, which is a local, non-real-time source."
36,What two reportable segments does HP Inc. organize its operations into according to its FY2025 10-K filing?,local,1,"['hp', 'business_segments', '10K_fact', 'organizational_structure', 'local_doc']",local,local,local,,local,,local,,local,"The query is asking for historical, static data from a specific document (FY2025 10-K filing), which is characteristic of local data."
37,What were IBM's total revenues for fiscal year 2025 as reported in its annual filing?,local,1,"['ibm', 'total_revenue', '10K_fact', 'financials', 'local_doc']",local,local,local,,local,,local,,local,"The query is asking for historical financial data, specifically IBM's total revenues for a specific fiscal year, which falls under the category of 'local' tools that provide access to static or document-specific financial data."
38,What three primary business segments does Microsoft report in its FY2025 annual report?,local,1,"['microsoft', 'business_segments', '10K_fact', 'organizational_structure', 'local_doc']",local,local,local,,local,,local,,local,"The query is asking for historical, static data from a specific annual report, which is typically available in local financial databases or documents."
39,"How many paid memberships did Netflix report globally as of December 31, 2025 in its annual filing?",local,1,"['netflix', 'paid_memberships', '10K_fact', 'specific_date', 'local_doc']",local,local,local,,local,,local,,local,"The query requests historical financial data from Netflix's annual filing, which is a static document-specific data point."
40,What was Pinterest's global monthly active user count as reported in its FY2025 annual filing?,local,1,"['pinterest', 'monthly_active_users', '10K_fact', 'platform_metrics', 'local_doc']",local,local,local,,local,,local,,local,"The query asks for historical, static data from a specific annual filing, which is characteristic of local data."
41,What are the two reportable segments Qualcomm identifies in its FY2025 10-K filing?,local,1,"['qualcomm', 'business_segments', '10K_fact', 'organizational_structure', 'local_doc']",local,local,local,,local,,local,,local,"The query requests historical financial data from a specific company's filing, which is typically stored in a local database or document."
42,"What was Roblox's daily active user count as of December 31, 2025 as reported in its FY2025 annual report?",local,1,"['roblox', 'daily_active_users', '10K_fact', 'specific_date', 'local_doc']",local,local,local,,local,,local,,local,"The query requests historical, static data from a specific annual report, which falls under the category of 'local' financial data."
43,What was Salesforce's total revenue for fiscal year 2025 as reported in its 10-K annual filing?,local,1,"['salesforce', 'total_revenue', '10K_fact', 'financials', 'local_doc']",local,local,local,,local,,local,,local,"The query is asking for historical, static financial data (fiscal year 2025 revenue) which is typically found in a company's annual filing (10-K) and is not real-time or live market data."
44,What was Snowflake's total product revenue for fiscal year 2025 according to its annual report?,local,1,"['snowflake', 'product_revenue', '10K_fact', 'financials', 'local_doc']",local,local,local,,local,,local,,local,"The query is asking for historical financial data from an annual report, which is a static document-specific financial data."
45,How many trips did Uber complete globally in fiscal year 2025 as disclosed in its annual filing?,local,1,"['uber', 'trip_volume', '10K_fact', 'platform_metrics', 'local_doc']",local,local,local,,local,,local,,local,"The query is asking for historical, static data (fiscal year 2025 annual filing) which is typically found in a company's annual report or filing, making it a 'local' query."
46,What is Visa's current stock price as of today?,web,1,"['visa', 'stock_price', 'real_time', 'financial_market', 'web_only']",web,local,web,,web,,web,,web,"The query is asking for real-time, current stock price information, which is a characteristic of live market data."
47,What promotions or sale events has Wayfair announced in the last 30 days?,web,1,"['wayfair', 'recent_news', 'promotions', 'post_filing', 'web_only']",uncertain,local,web,,web,,web,,web,"The query asks for recent promotions or sale events, which implies real-time or current information that is typically available on the web."
48,What new hardware products has Apple announced or released in the last 30 days?,web,1,"['apple', 'product_launch', 'recent_news', 'post_filing', 'web_only']",uncertain,local,web,,local,,web,,web,"The query is asking for real-time information about Apple's recent hardware product announcements or releases, which is typically available on the web."
49,What is Microsoft's current market capitalization?,web,1,"['microsoft', 'market_cap', 'real_time', 'financial_market', 'web_only']",web,local,web,,web,,web,,web,"The query asks for current market capitalization, which is real-time data that is typically only available through web-based sources."
50,What new original shows or movies did Netflix release this week?,web,1,"['netflix', 'content_releases', 'real_time', 'post_filing', 'web_only']",uncertain,local,web,,web,,web,,web,"The query is asking for real-time information about Netflix's recent releases, which is typically available on their website or through web-based services."
51,What is Uber's current Wall Street analyst consensus price target?,web,1,"['uber', 'analyst_ratings', 'real_time', 'investment', 'web_only']",web,local,web,,web,,web,,web,"The query requests current Wall Street analyst consensus price target, which is real-time market data."
52,Has Salesforce announced any acquisitions or major partnerships in 2026?,web,1,"['salesforce', 'acquisitions', 'recent_news', 'post_filing', 'web_only']",local,local,web,,web,,web,,web,"The query is asking about a recent event (2026) and does not specify a specific document or historical data, indicating real-time or current information."
53,What is IBM's current trailing twelve-month earnings per share?,web,1,"['ibm', 'EPS', 'real_time', 'financial_market', 'web_only']",web,local,web,,local,,web,,web,"The query requests current trailing twelve-month earnings per share, which is a real-time financial metric that is typically updated frequently and is not available in historical or static data."
54,What cybersecurity vulnerabilities or threats has Cisco publicly disclosed or warned about in the past month?,web,1,"['cisco', 'cybersecurity', 'recent_news', 'post_filing', 'web_only']",local,local,web,,web,,web,,web,"The query is asking about real-time or recent cybersecurity vulnerabilities or threats, which is typically available through web-based sources."
55,What is Dell's current price-to-earnings ratio based on the latest market data?,web,1,"['dell', 'valuation_metric', 'real_time', 'financial_market', 'web_only']",web,local,web,,web,,web,,web,"The query requests the latest market data, which is typically only available in real-time through web-based tools."
56,What new cities or international markets has DoorDash expanded into in 2026?,web,1,"['doordash', 'expansion', 'recent_news', 'post_filing', 'web_only']",local,local,web,,local,,web,,web,"The query asks about DoorDash's expansion into new cities or international markets in 2026, which is a real-time or current event, making it a web query."
57,What new advertising or creator monetization features has Pinterest launched recently?,web,1,"['pinterest', 'advertising', 'recent_news', 'post_filing', 'web_only']",uncertain,local,web,,web,,web,,web,"The query asks about recent features, implying real-time or current information."
58,Which recent chip licensing deal or OEM partnership has Qualcomm announced?,web,1,"['qualcomm', 'partnerships', 'recent_news', 'post_filing', 'web_only']",uncertain,local,local,,web,,web,,web,"The query asks for a recent chip licensing deal or OEM partnership, which implies a need for up-to-date information, suggesting a web search is more suitable."
59,What major brand collaborations or gaming events has Roblox announced this quarter?,web,1,"['roblox', 'collaborations', 'recent_news', 'post_filing', 'web_only']",uncertain,local,web,,web,,web,,web,"The query asks about a specific event or announcement that has occurred this quarter, indicating real-time or current information."
60,What product or partnership announcements has Snowflake made at its most recent investor or developer event?,web,1,"['snowflake', 'announcements', 'recent_news', 'post_filing', 'web_only']",web,local,web,,web,,web,,web,"The query is asking for recent announcements, which implies real-time or current information that would be available on the web."
61,What are GameStop's main revenue streams and how has the business shifted toward digital sales?,local,2,"['gamestop', 'revenue_streams', 'digital_transition', 'local_doc_or_web_analysis', 'business_model']",uncertain,local,web,,local,,web,,web,"The query asks about the current business shift toward digital sales, implying a need for real-time or up-to-date information."
62,How does Apple's Services segment contribute to its overall revenue compared to iPhone hardware sales?,local,2,"['apple', 'services_segment', 'revenue_mix', 'local_doc_or_web_summary', 'financials']",uncertain,local,web,,local,,web,,local,"The query is asking for historical data on Apple's revenue breakdown, which is typically found in their financial reports and 10-K filings."
63,What is Microsoft's strategy for growing Azure cloud services in competition with AWS and Google Cloud?,web,2,"['microsoft', 'azure', 'cloud_strategy', 'competitive_analysis', 'current_market_or_local_doc']",uncertain,local,web,,local,,web,,web,"The query is asking about a company's strategy for growing a cloud service, which is a real-time and dynamic topic, making it more suitable for web-based tools."
64,What is Netflix's approach to content spending and how does it impact the company's path to profitability?,local,2,"['netflix', 'content_spend', 'profitability', 'local_doc_or_web_analysis', 'financials']",uncertain,local,web,,local,,local,,web,"The query requires real-time or current information about Netflix's content spending and its impact on profitability, which is typically available through web-based sources such as news articles, analyst reports, or company statements."
65,How does Uber Eats contribute to Uber's total gross bookings and overall business mix?,local,2,"['uber', 'uber_eats', 'gross_bookings', 'local_doc_or_web_summary', 'segment_breakdown']",uncertain,local,local,,local,,web,,web,"The query asks about current or real-time information about Uber's business mix, which is typically available through web-based sources."
66,How does Visa's global payment network compare to Mastercard's in terms of transaction volume and market share?,web,2,"['visa', 'competitive_analysis', 'mastercard', 'current_market_or_local_doc', 'payments']",uncertain,local,web,,web,,web,,web,"The query asks about current market data, specifically transaction volume and market share, which is typically real-time or near-real-time information."
67,What is IBM's strategy for growing its hybrid cloud and AI consulting business?,local,2,"['ibm', 'hybrid_cloud', 'AI_consulting', 'local_doc_or_web_analysis', 'strategy']",uncertain,local,web,,local,,web,,web,"The query is asking about IBM's current strategy, which is a real-time or live topic, making it suitable for web-based tools."
68,How has Salesforce's acquisition of Slack changed its product strategy and enterprise offerings?,web,2,"['salesforce', 'slack_acquisition', 'product_strategy', 'recent_web_or_local_doc', 'enterprise']",uncertain,local,web,,local,,web,,web,"The query is asking about a recent acquisition and its impact on a company's product strategy and offerings, which is a real-time and dynamic topic."
69,What industries are Snowflake's largest customers concentrated in according to its annual report?,local,2,"['snowflake', 'customer_concentration', 'industry_verticals', 'local_doc_or_web_summary', 'enterprise']",local,local,local,,local,,local,,local,"The query is asking for historical, static data from Snowflake's annual report, which falls under the category of 'local' tool."
70,What is DoorDash's take rate and how does it compare to competitors like Uber Eats and Grubhub?,web,2,"['doordash', 'take_rate', 'competitive_analysis', 'current_market_or_local_doc', 'unit_economics']",uncertain,local,web,,web,,web,,web,"The query requires real-time or current data to compare DoorDash's take rate with its competitors, which is typically available on the web."
71,How does Pinterest monetize its platform and what is its average revenue per user?,local,2,"['pinterest', 'monetization', 'ARPU', 'local_doc_or_web_summary', 'advertising']",uncertain,local,web,,web,,web,,web,"The query asks for current information about Pinterest's monetization and revenue per user, which is likely to be found in real-time or live market data."
72,How dependent is Qualcomm on Apple as a customer for its semiconductor revenues?,web,2,"['qualcomm', 'apple_dependency', 'customer_concentration', 'current_market_or_local_doc', 'semiconductors']",uncertain,local,web,,local,,web,,web,"The query asks about Qualcomm's current dependence on Apple as a customer, which requires real-time or recent data, making it a web query."
73,How does Roblox's developer economy work and what role does the Robux virtual currency play?,local,2,"['roblox', 'developer_economy', 'robux', 'local_doc_or_web_explainer', 'platform_model']",uncertain,local,web,,local,,web,,web,"The query asks about the current developer economy and virtual currency, which is real-time and dynamic, making it a web query."
74,What regulatory risks does Apple face in the European Union related to App Store policies?,web,2,"['apple', 'regulatory_risk', 'EU', 'current_web_or_local_doc', 'DMA']",uncertain,local,web,,local,,web,,web,"The query asks about current App Store policies and regulatory risks in the European Union, which requires real-time or near-real-time information, making it a web query."
75,How is Cisco transitioning its business model from hardware sales to software subscriptions and recurring revenue?,local,2,"['cisco', 'business_model_transition', 'software_subscriptions', 'local_doc_or_web_analysis', 'strategy']",uncertain,local,web,,local,,web,,web,"The query is asking about Cisco's current business model transition, which is a real-time and dynamic topic, making it suitable for web-based tools."
76,What were Wayfair's key financial performance metrics and customer trends for last fiscal year?,local,2,"['wayfair', 'KPIs', 'financials', 'local_doc_or_web_summary', 'ecommerce']",local,local,local,,local,,local,,local,"The query is asking for historical financial data, specifically last fiscal year's metrics, which falls under the category of local data."
77,What is Dell's current market position in the enterprise server and PC market relative to HP and Lenovo?,web,2,"['dell', 'market_position', 'competitive_analysis', 'current_market_or_local_doc', 'enterprise_hardware']",web,local,web,,web,,web,,web,"The query asks about the current market position, which requires real-time or near-real-time data, making it a web query."
78,How does HP Inc. split its revenue between the personal systems and printing segments?,local,2,"['hp', 'segment_revenue', 'personal_systems', 'local_doc_or_web_summary', 'printing']",uncertain,local,local,,local,,local,,local,"The query is asking for historical or static data about HP Inc.'s revenue split between segments, which is typically found in annual reports or other static financial documents."
79,What are the key financial highlights from Microsoft's annual financial report?,local,2,"['microsoft', 'financial_highlights', 'local_doc_or_web_summary', 'annual_results', 'financials']",uncertain,local,local,,local,,local,,local,"The query is asking for historical financial data from Microsoft's annual financial report, which is typically a static document."
80,What is GameStop's strategy for remaining relevant as gaming moves increasingly toward digital distribution?,web,2,"['gamestop', 'digital_strategy', 'competitive_positioning', 'current_web_or_local_doc', 'retail']",uncertain,local,web,,web,,web,,web,"The query asks about GameStop's current strategy in response to a changing market trend, indicating a need for real-time or near-real-time information."
81,What's the deal with Apple?,web,3,"['apple', 'open_ended', 'highly_vague', 'business_overview_or_web', 'no_specific_intent']",uncertain,local,web,,web,,web,,web,"The query is asking for general information about Apple, which is likely to be related to current or real-time data."
82,How is Microsoft doing?,web,3,"['microsoft', 'performance', 'highly_vague', 'fy2025_doc_or_current_web', 'open_ended']",uncertain,local,web,,web,,web,,web,"The query asks about Microsoft's current performance, which is a real-time or live market data."
83,Tell me about Netflix's finances.,local,3,"['netflix', 'bare_query', 'financials', 'highly_vague', 'local_or_web_unclear']",uncertain,local,web,,local,,web,,web,"The query asks about Netflix's finances, which implies a desire for current or real-time information, making it a web query."
84,What should I know about Uber before investing?,web,3,"['uber', 'investment_research', 'highly_vague', '10K_risk_or_web_analysis', 'open_ended']",web,local,web,,web,,web,,web,"The query is asking about investing in Uber, which requires real-time or current information, such as market trends, news, and financial data, which is typically available on web-based tools."
85,How is Visa's business?,local,3,"['visa', 'bare_query', 'performance', 'highly_vague', 'local_or_web_unclear']",uncertain,local,web,,local,,web,,web,"The query asks about Visa's business, which implies a current or real-time status, making it a web query."
86,What's IBM up to these days?,web,3,"['ibm', 'open_ended', 'highly_vague', 'recent_news_or_doc_overview', 'no_specific_intent']",uncertain,local,web,,web,,web,,web,"The query is asking about IBM's current status, implying a desire for real-time or recent information."
87,What is Salesforce's growth?,local,3,"['salesforce', 'bare_query', 'growth', 'highly_vague', 'historical_or_current_unclear']",uncertain,local,web,,local,,web,,web,"The query is asking for current or real-time information about Salesforce's growth, which is typically available through web-based sources."
88,Tell me about Snowflake.,web,3,"['snowflake', 'open_ended', 'highly_vague', 'business_overview_or_web', 'no_specific_intent']",web,local,web,,local,,web,,web,"Snowflake is a cloud-based data warehousing and analytics platform, implying it is a real-time or current topic."
89,How is DoorDash performing?,local,3,"['doordash', 'bare_query', 'performance', 'highly_vague', 'local_or_web_unclear']",uncertain,local,web,,web,,web,,web,"The query asks about DoorDash's current performance, which is a real-time or live market data."
90,What's going on with Pinterest?,web,3,"['pinterest', 'open_ended', 'highly_vague', 'recent_news_or_doc_overview', 'no_specific_intent']",uncertain,local,web,,web,,web,,web,"The query is asking about the current status of Pinterest, implying a desire for real-time or recent information."
91,What does Qualcomm do?,web,3,"['qualcomm', 'open_ended', 'highly_vague', 'business_overview_or_web', 'no_specific_intent']",uncertain,local,web,,local,,web,,web,"Qualcomm is a publicly traded company, and the query is asking about its general business activities, which is typically answered with real-time or current information."
92,How is Roblox doing?,local,3,"['roblox', 'bare_query', 'performance', 'highly_vague', 'local_or_web_unclear']",uncertain,local,web,,web,,web,,web,"The query asks about Roblox's current status, which is likely referring to its real-time market performance or recent news."
93,What is Cisco's outlook?,web,3,"['cisco', 'forward_looking', 'highly_vague', '10K_guidance_or_analyst_web', 'open_ended']",uncertain,local,web,,web,,web,,web,"The query is asking for Cisco's outlook, which implies a current or future projection, suggesting real-time or live market data."
94,How is Dell's recent performance?,local,3,"['dell', 'bare_query', 'performance', 'highly_vague', 'historical_or_current_unclear']",uncertain,local,web,,web,,web,,web,"The query asks for Dell's recent performance, implying a need for up-to-date information, which is typically available on the web."
95,Tell me about HP.,web,3,"['hp', 'open_ended', 'highly_vague', 'business_overview_or_web', 'no_specific_intent']",uncertain,local,local,,local,,web,,web,"The query 'Tell me about HP' is likely seeking real-time or current information about the company, such as its current stock price or recent news."
96,How is Wayfair's business going?,local,3,"['wayfair', 'bare_query', 'performance', 'highly_vague', 'local_or_web_unclear']",uncertain,local,web,,web,,web,,web,"The query asks about the current state of Wayfair's business, indicating a need for real-time or recent information, which is typically found in web-based tools."
97,Is GameStop still relevant?,web,3,"['gamestop', 'open_ended', 'highly_vague', 'business_viability_or_web_analysis', 'no_specific_intent']",uncertain,local,web,,web,,web,,web,"The query asks about the relevance of GameStop, which is a dynamic and constantly changing topic, making it suitable for real-time web data."
98,What are Apple's biggest risks?,local,3,"['apple', 'bare_query', 'risk_factors', 'highly_vague', '10K_risk_or_web_analysis']",uncertain,local,web,,local,,web,,web,"The query is asking about current or potential risks, which is a real-time or live market data topic."
99,What's Microsoft's AI play?,web,3,"['microsoft', 'AI_strategy', 'highly_vague', 'recent_news_or_local_doc', 'open_ended']",uncertain,local,web,,local,,web,,web,"The query is asking about Microsoft's current AI play, which is a real-time or live topic, making it suitable for a web-based tool."
100,What's the competitive landscape for Netflix?,web,3,"['netflix', 'competitive_landscape', 'highly_vague', 'current_web_or_local_doc', 'streaming']",uncertain,local,web,,local,,web,,web,"The query is asking about the current competitive landscape, which is a real-time and dynamic topic, making it suitable for web-based tools."
